axis-0,axis-1,axis-2
351.000,539.059,1015.239
352.000,537.389,1013.011
398.000,969.636,1017.207
268.000,823.171,1448.887
268.000,822.618,1454.107
269.000,825.081,1453.030
269.000,825.445,1450.919
269.000,826.433,1450.215
270.000,826.294,1453.502
270.000,826.833,1451.870
270.000,825.665,1450.511
271.000,825.884,1453.902
272.000,823.617,1454.589
272.000,826.797,1453.837
273.000,822.495,1455.590
273.000,819.559,1457.268
273.000,826.661,1454.577
273.000,816.889,1460.266
274.000,821.345,1457.156
274.000,815.164,1460.877
274.000,819.767,1459.599
274.000,826.440,1454.895
275.000,811.838,1464.516
275.000,809.046,1466.806
276.000,810.026,1467.086
276.000,806.331,1469.566
276.000,811.561,1464.556
277.000,809.820,1467.606
277.000,805.464,1470.609
278.000,807.937,1469.152
278.000,809.475,1467.151
156.000,968.101,1762.309
157.000,964.898,1763.183
157.000,965.836,1760.698
158.000,960.887,1762.298
158.000,965.619,1761.065
159.000,957.682,1760.299
159.000,954.269,1761.553
160.000,955.990,1759.825
161.000,954.819,1760.540
162.000,954.817,1761.867
162.000,960.543,1763.577
163.000,954.287,1763.439
163.000,957.091,1763.360
163.000,961.410,1764.650
164.000,960.156,1764.905
164.000,951.695,1765.946
164.000,949.203,1765.135
165.000,962.362,1765.884
165.000,958.204,1767.050
166.000,954.285,1765.570
166.000,958.642,1765.343
166.000,963.475,1764.289
166.000,956.674,1766.813
167.000,951.106,1766.049
167.000,953.682,1766.132
167.000,953.137,1769.142
168.000,949.049,1766.560
168.000,949.571,1771.140
182.000,1014.777,1922.031
283.000,911.775,1728.113
283.000,910.526,1727.641
284.000,912.125,1728.651
284.000,911.117,1728.124
284.000,913.426,1729.621
285.000,912.192,1729.422
286.000,911.371,1729.487
287.000,910.871,1731.648
287.000,911.181,1730.059
288.000,902.405,1736.221
288.000,909.746,1733.360
288.000,905.991,1734.461
288.000,901.446,1739.230
289.000,900.025,1740.656
289.000,902.009,1736.542
290.000,898.064,1741.965
290.000,900.864,1738.304
291.000,896.956,1741.749
291.000,899.325,1739.263
292.000,895.335,1742.201
292.000,898.020,1738.923
293.000,894.642,1744.037
293.000,897.317,1740.391
293.000,898.486,1737.733
294.000,893.421,1743.782
294.000,895.781,1741.828
294.000,894.492,1745.077
114.000,992.387,2064.764
119.000,997.268,2068.953
120.000,996.462,2068.819
121.000,995.794,2068.313
122.000,995.398,2067.434
15.000,997.854,2615.719
16.000,997.922,2615.378
258.000,1475.661,208.605
259.000,1475.904,208.636
290.000,1524.054,116.668
291.000,1523.094,115.753
292.000,1521.837,115.621
282.000,1486.993,697.384
283.000,1486.988,697.399
283.000,1489.401,699.881
147.000,1082.513,1886.126
148.000,1082.133,1886.205
149.000,1081.963,1886.524
149.000,1081.271,1886.161
150.000,1080.942,1886.608
150.000,1081.885,1886.904
151.000,1080.759,1887.157
151.000,1080.838,1888.145
152.000,1079.808,1887.698
153.000,1078.864,1887.942
154.000,1078.642,1888.057
155.000,1078.639,1888.221
156.000,1078.419,1888.672
157.000,1077.775,1889.536
158.000,1077.395,1890.013
159.000,1076.393,1890.609
160.000,1074.825,1891.894
161.000,1072.901,1893.209
162.000,1071.821,1893.784
163.000,1071.050,1894.931
164.000,1070.982,1895.446
165.000,1071.746,1895.917
166.000,1073.597,1896.623
193.000,1145.114,1994.698
194.000,1145.606,1995.035
194.000,1146.226,1994.949
195.000,1146.404,1994.944
196.000,1146.805,1994.946
196.000,1147.986,1993.457
197.000,1146.977,1994.840
197.000,1147.069,1993.952
198.000,1146.052,1994.472
199.000,1145.594,1994.844
200.000,1144.202,1996.286
201.000,1143.760,1996.929
202.000,1144.131,1997.998
202.000,1148.318,1996.688
203.000,1136.774,2001.053
204.000,1135.722,2002.528
207.000,1348.599,1788.925
208.000,1348.888,1788.564
209.000,1348.663,1788.293
209.000,1127.827,2010.918
210.000,1347.853,1788.686
210.000,1127.426,2011.033
211.000,1346.911,1789.479
212.000,1346.197,1789.875
213.000,1344.288,1791.467
214.000,1342.129,1792.434
214.000,1181.794,1729.820
215.000,1181.681,1729.996
216.000,1362.810,1766.284
217.000,1362.402,1765.597
220.000,1184.230,1732.202
